"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10μF","unpolarised-nominal-1206-3216",211.5,-127,-90,"top"
"C2","2.2μF","unpolarised-nominal-0603-1608",209.5,-128,-90,"top"
"C3","10μF","unpolarised-nominal-1206-3216",216.5,-127,-90,"top"
"C4","2.2μF","unpolarised-nominal-0603-1608",217,-118.25,0,"top"
"C5","2.2μF","unpolarised-nominal-0603-1608",186,-119,180,"top"
"C6","10μF","unpolarised-nominal-1206-3216",213.75,-145.5,90,"top"
"C7","100nF","unpolarised-nominal-0402-1005",220.75,-143.25,90,"top"
"C8","10μF","unpolarised-nominal-1206-3216",212.75,-140,-90,"top"
"C9","10μF","unpolarised-nominal-1206-3216",209.75,-140,-90,"top"
"C10","10μF","unpolarised-nominal-1206-3216",192.5,-155,-90,"top"
"C11","2.2μF","unpolarised-nominal-0603-1608",203.91,-108.25,-90,"top"
"C12","10nF","unpolarised-nominal-0402-1005",202.25,-150.25,90,"top"
"C13","2.2μF","unpolarised-nominal-0603-1608",204.26,-153,0,"top"
"C14","2.2μF","unpolarised-nominal-0603-1608",204.26,-157,0,"top"
"C15","2.2μF","unpolarised-nominal-0603-1608",192.25,-165.5,0,"top"
"C16","2.2μF","unpolarised-nominal-0603-1608",203.75,-165.5,0,"top"
"C17","2.2μF","unpolarised-nominal-0603-1608",207.75,-165.5,180,"top"
"C18","2.2μF","unpolarised-nominal-0603-1608",182,-170,90,"top"
"C19","2.2μF","unpolarised-nominal-0603-1608",212.5,-155.5,-90,"top"
"C20","2.2μF","unpolarised-nominal-0603-1608",222.5,-155.5,90,"top"
"D1","BZA856AVL,115","SOT-353",186,-125.25,-90,"top"
"D2","BZA856AVL,115","SOT-353",198,-108.25,-90,"top"
"D3","SD103AWS","SOD-323",207,-155,90,"top"
"D4","BZA856AVL,115","SOT-353",200,-164.75,90,"top"
"D5","BZA856AVL,115","SOT-353",184.75,-164.75,90,"top"
"D6","BZA856AVL,115","SOT-353",215.25,-164.75,90,"top"
"FB1","HI0805R800R-10","FB0805",209.75,-145.5,-90,"top"
"L1","HPC5040NF-3R3M","HPC5040NF",217,-140,180,"top"
"Q1","BC847BS","SOT-363",211.5,-164.77,0,"top"
"Q2","BC847BS","SOT-363",188.5,-164.75,0,"top"
"R1","10kΩ","nominal-0402-1005",209.5,-125.5,90,"top"
"R2","910Ω","nominal-1210-3225",219.25,-127,90,"top"
"R3","30.1kΩ","nominal-0402-1005",215.5,-148,-90,"top"
"R4","10kΩ","nominal-0402-1005",216.5,-148,90,"top"
"R5","100kΩ","nominal-0402-1005",217.5,-148,-90,"top"
"R6","30.1kΩ","nominal-0402-1005",218.5,-148,-90,"top"
"R7","52.3kΩ","nominal-0402-1005",219.75,-146.75,90,"top"
"R8","10kΩ","nominal-0402-1005",220.75,-146.75,-90,"top"
"R9","634Ω","nominal-0402-1005",196,-108.25,90,"top"
"R10","634Ω","nominal-0402-1005",200,-108.25,90,"top"
"R11","10kΩ","nominal-0402-1005",201.25,-150.25,-90,"top"
"R12","634Ω","nominal-0402-1005",200.26,-150.25,-90,"top"
"R13","10kΩ","nominal-0402-1005",207,-150.25,90,"top"
"R14","91Ω","nominal-0402-1005",199.26,-151.25,90,"top"
"R15","91Ω","nominal-0402-1005",198.26,-151.25,90,"top"
"R16","91Ω","nominal-0402-1005",197.26,-151.25,90,"top"
"R17","91Ω","nominal-0402-1005",196.25,-153,180,"top"
"R18","91Ω","nominal-0402-1005",196.26,-154,180,"top"
"R19","91Ω","nominal-0402-1005",196.25,-155,180,"top"
"R20","91Ω","nominal-0402-1005",204.26,-154.5,180,"top"
"R21","91Ω","nominal-0402-1005",204.27,-155.5,180,"top"
"R22","4.7kΩ","nominal-0402-1005",215.25,-162,0,"top"
"R23","4.7kΩ","nominal-0402-1005",211.5,-162,0,"top"
"R24","634Ω","nominal-0402-1005",196.25,-157,0,"top"
"R25","634Ω","nominal-0402-1005",200.25,-159.75,90,"top"
"R26","634Ω","nominal-0402-1005",199.25,-158.75,90,"top"
"R27","634Ω","nominal-0402-1005",198.25,-158.75,90,"top"
"R28","634Ω","nominal-0402-1005",197.25,-158.75,90,"top"
"R29","4.7kΩ","nominal-0402-1005",202.25,-159.75,-90,"top"
"R30","4.7kΩ","nominal-0402-1005",201.25,-159.75,-90,"top"
"R31","634Ω","nominal-0402-1005",196.25,-156,180,"top"
"R32","10kΩ","nominal-0402-1005",184.75,-162,180,"top"
"R33","7.5Ω","nominal-0603-1608",188.5,-162,0,"top"
"U1","DML3006LFDS","V-DFN2020-8",214,-127,0,"top"
"U2","AP62150WU","TSOT-26",217,-145,0,"top"
"U3","PIC16F15355-I/MV","UQFN28-4x4mm-0.4mm-expad-2.35x2.35mm-thermvias",200,-155,0,"top"
